method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
b2,B2 trajectory + policy,baseline,type_k,3,categorical,17,34,34,12,19,3,0,0.35294117647058826,0.5588235294117647,0.08823529411764706,0.0
b2,B2 trajectory + policy,baseline,type_k,3,causal,9,23,0,0,0,0,23,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,3,comparative,5,6,6,5,0,1,0,0.8333333333333334,0.0,0.16666666666666666,0.0
b2,B2 trajectory + policy,baseline,type_k,3,numerical,30,174,174,133,12,29,0,0.764367816091954,0.06896551724137931,0.16666666666666666,0.0
b2,B2 trajectory + policy,baseline,type_k,4,categorical,27,63,63,5,52,6,0,0.07936507936507936,0.8253968253968254,0.09523809523809523,0.0
b2,B2 trajectory + policy,baseline,type_k,4,comparative,6,6,6,5,0,1,0,0.8333333333333334,0.0,0.16666666666666666,0.0
b2,B2 trajectory + policy,baseline,type_k,4,numerical,28,130,130,118,0,12,0,0.9076923076923077,0.0,0.09230769230769231,0.0
b2,B2 trajectory + policy,baseline,type_k,5,categorical,12,27,27,5,17,5,0,0.18518518518518517,0.6296296296296297,0.18518518518518517,0.0
b2,B2 trajectory + policy,baseline,type_k,5,causal,3,4,0,0,0,0,4,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,5,comparative,5,6,6,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0
b2,B2 trajectory + policy,baseline,type_k,5,numerical,30,132,132,102,20,10,0,0.7727272727272727,0.15151515151515152,0.07575757575757576,0.0
b2,B2 trajectory + policy,baseline,type_k,12,categorical,27,50,50,15,34,1,0,0.3,0.68,0.02,0.0
b2,B2 trajectory + policy,baseline,type_k,12,causal,8,11,0,0,0,0,11,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,12,comparative,6,7,7,4,0,3,0,0.5714285714285714,0.0,0.42857142857142855,0.0
b2,B2 trajectory + policy,baseline,type_k,12,numerical,30,150,150,130,2,18,0,0.8666666666666667,0.013333333333333334,0.12,0.0
b2,B2 trajectory + policy,baseline,type_k,15,categorical,20,37,37,1,36,0,0,0.02702702702702703,0.972972972972973,0.0,0.0
b2,B2 trajectory + policy,baseline,type_k,15,causal,5,7,0,0,0,0,7,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,15,comparative,2,2,2,1,0,1,0,0.5,0.0,0.5,0.0
b2,B2 trajectory + policy,baseline,type_k,15,numerical,30,147,147,127,2,18,0,0.8639455782312925,0.013605442176870748,0.12244897959183673,0.0
b2,B2 trajectory + policy,baseline,type_k,26,categorical,14,32,32,10,20,2,0,0.3125,0.625,0.0625,0.0
b2,B2 trajectory + policy,baseline,type_k,26,causal,8,17,0,0,0,0,17,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,26,comparative,4,5,5,2,2,1,0,0.4,0.4,0.2,0.0
b2,B2 trajectory + policy,baseline,type_k,26,numerical,30,216,216,164,2,50,0,0.7592592592592593,0.009259259259259259,0.23148148148148148,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,categorical,19,63,63,16,15,32,0,0.25396825396825395,0.23809523809523808,0.5079365079365079,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,causal,12,26,0,0,0,0,26,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,comparative,14,32,32,12,6,14,0,0.375,0.1875,0.4375,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,numerical,25,115,115,109,0,6,0,0.9478260869565217,0.0,0.05217391304347826,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,categorical,30,99,99,23,20,56,0,0.23232323232323232,0.20202020202020202,0.5656565656565656,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,causal,2,3,0,0,0,0,3,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,comparative,9,15,15,4,1,10,0,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,numerical,26,74,74,68,0,6,0,0.918918918918919,0.0,0.08108108108108109,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,categorical,19,34,34,8,7,19,0,0.23529411764705882,0.20588235294117646,0.5588235294117647,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,causal,19,40,0,0,0,0,40,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,comparative,3,4,4,2,0,2,0,0.5,0.0,0.5,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,numerical,24,45,45,36,0,9,0,0.8,0.0,0.2,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,4,categorical,23,43,43,0,0,43,0,0.0,0.0,1.0,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,4,causal,7,10,0,0,0,0,10,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,4,comparative,1,1,1,0,0,1,0,0.0,0.0,1.0,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,5,categorical,30,64,64,44,13,7,0,0.6875,0.203125,0.109375,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,5,comparative,1,2,2,1,0,1,0,0.5,0.0,0.5,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,5,numerical,28,67,67,67,0,0,0,1.0,0.0,0.0,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,categorical,29,116,116,19,57,40,0,0.16379310344827586,0.49137931034482757,0.3448275862068966,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,causal,17,40,0,0,0,0,40,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,comparative,12,22,22,16,2,4,0,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,numerical,22,62,62,59,0,3,0,0.9516129032258065,0.0,0.04838709677419355,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,categorical,20,50,50,7,25,18,0,0.14,0.5,0.36,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,causal,7,16,0,0,0,0,16,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,comparative,4,6,6,2,0,4,0,0.3333333333333333,0.0,0.6666666666666666,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,numerical,25,74,74,71,2,1,0,0.9594594594594594,0.02702702702702703,0.013513513513513514,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,categorical,14,39,39,8,23,8,0,0.20512820512820512,0.5897435897435898,0.20512820512820512,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,causal,5,10,0,0,0,0,10,,,,1.0
