method,method_name,family,query_id,type_k,scenario,status,claim_status,latency_sec,explanation_words,explanation_chars,input_words,input_chars,claim_count,numerical_claim_count,categorical_claim_count,comparative_claim_count,causal_claim_count,unique_numeric_values
ours,Full NS-XAI,main,Q1101,12,2,ok,ok,16.23,197,1213,261,1664,13,10,1,2,0,10
ours,Full NS-XAI,main,Q1106,12,2,ok,ok,29.22,199,1269,200,1292,13,10,2,0,1,10
ours,Full NS-XAI,main,Q1116,12,2,ok,ok,58.24,235,1469,260,1662,7,4,3,0,0,4
ours,Full NS-XAI,main,Q1121,12,2,ok,ok,26.65,220,1433,200,1285,17,8,5,2,2,8
ours,Full NS-XAI,main,Q1126,12,2,ok,ok,40.98,219,1357,228,1470,17,8,5,1,3,8
ours,Full NS-XAI,main,Q1131,12,2,ok,ok,31.05,209,1248,261,1669,13,8,4,0,1,8
ours,Full NS-XAI,main,Q1136,12,2,ok,ok,20.64,228,1431,259,1666,7,7,0,0,0,7
ours,Full NS-XAI,main,Q1141,12,2,ok,ok,26.21,214,1329,201,1287,12,10,2,0,0,10
ours,Full NS-XAI,main,Q1146,12,2,ok,ok,25.74,206,1318,227,1471,14,8,3,2,1,8
ours,Full NS-XAI,main,Q1396,12,2,ok,ok,28.98,251,1547,265,1691,10,10,0,0,0,10
ours,Full NS-XAI,main,Q1576,12,2,ok,ok,14.28,205,1274,201,1289,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1581,12,2,ok,ok,26.63,210,1299,226,1466,10,8,2,0,0,6
ours,Full NS-XAI,main,Q1586,12,2,ok,ok,30.12,174,1077,260,1660,11,8,0,2,1,8
ours,Full NS-XAI,main,Q1591,12,2,ok,ok,33.2,193,1222,200,1287,15,11,1,2,1,11
ours,Full NS-XAI,main,Q1596,12,2,ok,ok,48.51,207,1318,227,1481,13,8,2,0,3,8
ours,Full NS-XAI,main,Q1601,12,2,ok,ok,32.38,252,1584,260,1664,12,11,1,0,0,10
ours,Full NS-XAI,main,Q1606,12,2,ok,ok,30.66,190,1243,259,1659,12,10,2,0,0,7
ours,Full NS-XAI,main,Q1611,12,2,ok,ok,25.29,209,1346,200,1285,13,8,2,1,2,8
ours,Full NS-XAI,main,Q1616,12,2,ok,ok,25.67,204,1247,227,1470,17,12,2,1,2,12
ours,Full NS-XAI,main,Q1271,15,2,ok,ok,38.37,170,1118,200,1302,7,4,3,0,0,4
ours,Full NS-XAI,main,Q1276,15,2,ok,ok,24.29,176,1136,202,1299,10,9,1,0,0,9
ours,Full NS-XAI,main,Q1281,15,2,ok,ok,17.42,165,1066,203,1312,8,8,0,0,0,8
ours,Full NS-XAI,main,Q1286,15,2,ok,ok,13.77,182,1219,202,1305,10,6,1,1,2,6
ours,Full NS-XAI,main,Q1291,15,2,ok,ok,13.72,159,1032,202,1297,7,4,1,1,1,4
ours,Full NS-XAI,main,Q1296,15,2,ok,ok,24.76,164,1045,202,1314,8,8,0,0,0,8
ours,Full NS-XAI,main,Q1301,15,2,ok,ok,33.08,212,1301,202,1307,10,6,3,1,0,5
ours,Full NS-XAI,main,Q1306,15,2,ok,ok,40.59,186,1221,259,1665,7,7,0,0,0,7
ours,Full NS-XAI,main,Q1311,15,2,ok,ok,40.65,197,1255,259,1661,9,8,1,0,0,8
ours,Full NS-XAI,main,Q1316,15,2,ok,ok,28.84,203,1315,201,1302,13,10,1,0,2,9
ours,Full NS-XAI,main,Q1321,15,2,ok,ok,25.28,131,826,203,1313,8,6,1,0,1,6
ours,Full NS-XAI,main,Q1326,15,2,ok,ok,18.51,158,1010,204,1320,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1331,15,2,ok,ok,14.6,205,1300,203,1312,12,10,0,0,2,10
ours,Full NS-XAI,main,Q1336,15,2,ok,ok,34.36,174,1127,200,1300,15,6,7,2,0,6
ours,Full NS-XAI,main,Q1341,15,2,ok,ok,19.28,144,931,206,1330,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1346,15,2,ok,ok,28.64,161,1036,201,1308,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1351,15,2,ok,ok,14.75,147,973,202,1305,8,7,0,0,1,7
ours,Full NS-XAI,main,Q1356,15,2,ok,ok,33.3,153,992,257,1659,9,7,2,0,0,7
